wavelength,photopicCurve
511,0.540139
512,0.560021
513,0.580097
514,0.600317
515,0.620626
516,0.64094
517,0.661077
518,0.680813
519,0.699904
520,0.718089
521,0.735159
522,0.751182
523,0.766314
524,0.780735
525,0.794645
526,0.808207
527,0.821382
528,0.83407
529,0.846171
530,0.85758
531,0.868241
532,0.878306
533,0.887991
534,0.897521
535,0.907135
536,0.916995
537,0.926929
538,0.936673
539,0.945948
540,0.954468
541,0.961983
542,0.968439
543,0.973829
544,0.978152
545,0.981411
546,0.983667
547,0.985208
548,0.986381
549,0.987536
550,0.989023
551,0.991081
552,0.993491
553,0.995917
554,0.998021
555,0.999461
556,0.999993
557,0.999756
558,0.998984
559,0.997912
560,0.996774
561,0.995736
562,0.994711
563,0.993553
564,0.992116
565,0.990255
566,0.98786
567,0.984932
568,0.981504
569,0.977603
570,0.973261
571,0.968476
572,0.963137
573,0.957106
574,0.950254
575,0.942457
576,0.93369
577,0.924289
578,0.914671
579,0.905233
580,0.896361
581,0.888307
582,0.880846
583,0.873645
584,0.866376
585,0.85872
586,0.85043
587,0.841505
588,0.832011
589,0.822015
590,0.811587
591,0.800787
592,0.789652
593,0.778205
594,0.766473
595,0.754479
596,0.742247
597,0.729823
598,0.717252
599,0.704582
600,0.691855
601,0.679101
602,0.666285
603,0.653359
604,0.640281
605,0.627007
606,0.613515
607,0.599849
608,0.586068
609,0.572226
610,0.558375
611,0.544554
612,0.530767
613,0.517013
614,0.503289
615,0.489595
616,0.475944
617,0.462396
618,0.449015
619,0.435862
620,0.42299
621,0.410415
622,0.398036
623,0.38573
624,0.373391
625,0.360924
626,0.348286
627,0.33557
628,0.322896
629,0.31037
630,0.298086
631,0.286116
632,0.274482
633,0.263195
634,0.252263
635,0.24169
636,0.231481
637,0.221638
638,0.212162
639,0.203054
640,0.194312
641,0.185923
642,0.177827
643,0.169965
644,0.162284
645,0.15474
646,0.147308
647,0.140017
648,0.132901
649,0.125991
650,0.119312
651,0.112882
652,0.106711
653,0.100805
654,0.0951665
655,0.0897959
656,0.0846904
657,0.0798401
658,0.0752337
659,0.0708606
660,0.0667104
661,0.0627736
662,0.0590418
663,0.055507
664,0.0521614
665,0.048997
666,0.0460058
667,0.0431788
668,0.0405075
669,0.0379838
670,0.0355998
671,0.0333486
672,0.0312233
673,0.0292178
674,0.027326
675,0.0255422
676,0.0238612
677,0.0222786
678,0.0207902
679,0.0193919
680,0.0180794
681,0.0168482
682,0.0156919
683,0.0146045
684,0.0135806
685,0.0126157
686,0.011707
687,0.0108561
688,0.0100648
689,0.00933338
690,0.00866128
691,0.00804605
692,0.00748113
693,0.00695999
694,0.00647707
695,0.00602768
696,0.00560817
697,0.00521669
698,0.00485179
699,0.00451201
700,0.00419594
701,0.00390206
702,0.00362837
703,0.00337301
704,0.00313432
705,0.00291086
706,0.00270153
707,0.0025058
708,0.00232323
709,0.00215333
710,0.00199556
711,0.00184932
712,0.00171398
713,0.0015889
714,0.00147345
715,0.00136702
716,0.00126895
717,0.00117842
718,0.00109464
719,0.00101694
720,0.000944727
721,0.000877517
722,0.000815044
723,0.000757076
724,0.000703376
725,0.000653705
726,0.000607805
727,0.000565344
728,0.000526005
729,0.000489506
730,0.000455597
731,0.000424055
732,0.000394686
733,0.000367318
734,0.000341794
735,0.000317974
736,0.000295744
737,0.000275056
738,0.000255864
739,0.000238114
740,0.000221745
741,0.000206671
742,0.000192747
743,0.000179831
744,0.000167802
745,0.000156557
746,0.000146017
747,0.000136153
748,0.000126945
749,0.000118367
750,0.000110393
751,0.000102991
752,9.61184E-05
753,8.97332E-05
754,8.37969E-05
755,7.82744E-05
756,7.31331E-05
757,6.83414E-05
758,6.38704E-05
759,5.96939E-05
760,5.57886E-05
761,5.21351E-05
762,4.87218E-05
763,4.55385E-05
764,4.25744E-05
765,3.98188E-05
766,3.72588E-05
767,3.48747E-05
768,3.26477E-05
769,3.05614E-05
770,2.86018E-05
771,2.67584E-05
772,2.50294E-05
773,2.34137E-05
774,2.19091E-05
775,2.05126E-05
776,0.000019219
777,0.000018018
778,0.000016899
779,1.58531E-05
780,1.48724E-05
781,1.39509E-05
782,1.30853E-05
783,1.22733E-05
784,1.15123E-05
785,0.0000108
786,1.01336E-05
787,9.50992E-06
788,8.92563E-06
789,8.37785E-06
790,7.86392E-06
791,7.38154E-06
792,6.9291E-06
793,6.50514E-06
794,6.10822E-06
795,5.73694E-06
796,5.38983E-06
797,5.06527E-06
798,4.76167E-06
799,4.47756E-06
800,4.2116E-06
801,3.96246E-06
802,3.72867E-06
803,3.50888E-06
804,3.30187E-06
805,3.10656E-06
806,2.92212E-06
807,2.74821E-06
808,2.58456E-06
809,2.43087E-06
810,2.28679E-06
811,2.15191E-06
812,2.02566E-06
813,1.90746E-06
814,1.79679E-06
815,1.69315E-06
816,1.59603E-06
817,1.5049E-06
818,1.41925E-06
819,1.3386E-06
820,1.26256E-06
821,1.19077E-06
822,1.12303E-06
823,1.05915E-06
824,9.98951E-07
825,9.42251E-07
826,8.8888E-07
827,8.38669E-07
828,7.91454E-07
829,7.47077E-07
830,7.05386E-07
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
